SVoltage(V),MVoltage(V),MCurrent(A),MPower(W),Receive?
0.000,14.400,0.508,7.315,35E;35F;595
0.000,14.400,0.509,7.318,595;35E;35F
0.000,14.401,0.507,7.294,35E;35F;595
0.000,14.402,0.744,2.666,595;35E;35F
